Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Adley Rutschman#,24,113,470,398,70,101,35,1,13,42,4,0,65,86,0.254,0.362,0.445,0.806,128,177,4,4,0,3,0
2,1B,Ryan Mountcastle,25,145,609,555,62,139,28,1,22,85,4,1,43,154,0.25,0.305,0.423,0.729,105,235,12,4,0,7,1
3,2B,Rougned Odor*,28,135,472,426,49,88,19,3,13,53,6,1,32,109,0.207,0.275,0.357,0.632,79,152,9,10,0,4,1
4,SS,Jorge Mateo,27,150,533,494,63,109,25,7,13,50,35,9,27,147,0.221,0.267,0.379,0.646,81,187,8,5,3,2,0
5,3B,Ramón Urías,28,118,445,403,50,100,17,1,16,51,1,0,30,98,0.248,0.305,0.414,0.72,103,167,7,5,3,4,1
6,LF,Austin Hays,26,145,582,535,66,134,35,2,16,60,2,4,34,114,0.25,0.306,0.413,0.719,103,221,11,10,0,3,0
7,CF,Cedric Mullins*,27,156,672,608,89,157,32,4,16,64,34,10,47,126,0.258,0.318,0.403,0.721,104,245,4,9,1,5,2
8,RF,Anthony Santander#,27,152,647,574,78,138,24,0,33,89,0,2,55,122,0.24,0.318,0.455,0.773,117,261,14,13,0,5,1
9,DH,Trey Mancini,30,92,401,354,39,95,16,1,10,41,0,0,35,86,0.268,0.347,0.404,0.751,113,143,4,9,0,3,2
10,C,Robinson Chirinos,38,67,220,195,10,35,9,0,4,22,1,0,19,67,0.179,0.265,0.287,0.552,58,56,4,4,1,1,0
11,3B,Tyler Nevin,25,58,184,157,17,31,4,0,2,16,0,0,20,46,0.197,0.299,0.261,0.56,62,41,4,4,0,3,0
12,OF,Ryan McKenna,25,104,172,156,23,37,10,0,2,11,2,1,11,55,0.237,0.294,0.34,0.634,80,53,3,2,2,1,1
13,3B,Gunnar Henderson*,21,34,132,116,12,30,7,1,4,18,1,1,16,34,0.259,0.348,0.44,0.788,123,51,1,0,0,0,1
14,UT,Terrin Vavra*,25,40,103,89,14,23,2,1,1,12,0,1,12,19,0.258,0.34,0.337,0.677,94,30,2,0,0,2,0
15,OF,Kyle Stowers*,24,34,98,91,11,23,4,1,3,11,0,0,5,29,0.253,0.306,0.418,0.724,104,38,3,2,0,0,0
16,UT,Chris Owings,30,26,68,56,6,6,2,0,0,0,1,0,10,24,0.107,0.254,0.143,0.397,17,8,3,1,1,0,0
17,C,Anthony Bemboom*,32,22,59,52,4,6,2,0,1,1,0,0,6,17,0.115,0.207,0.212,0.418,20,11,1,0,1,0,0
18,DH,Jesús Aguilar,32,16,51,49,2,11,1,0,1,2,0,0,1,13,0.224,0.24,0.306,0.546,54,15,0,0,0,0,0
19,MI,Richie Martin,27,13,33,30,4,5,0,2,0,3,3,1,3,10,0.167,0.242,0.3,0.542,54,9,0,0,0,0,0
20,3B,Kelvin Gutiérrez,27,12,33,28,2,4,1,0,0,3,1,0,4,8,0.143,0.25,0.179,0.429,25,5,1,0,0,0,0
21,IF,Jonathan Araúz#,23,9,29,28,2,5,0,0,1,4,0,0,1,9,0.179,0.207,0.286,0.493,39,8,0,0,0,0,0
22,OF,Brett Phillips*,28,8,17,17,1,2,2,0,0,1,0,0,0,9,0.118,0.118,0.235,0.353,-3,4,0,0,0,0,0
23,3B,Rylan Bannon,26,4,15,14,0,2,0,0,0,0,0,0,0,5,0.143,0.2,0.143,0.343,0,2,0,1,0,0,0
24,,DJ Stewart*,28,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
25,RF,Yusniel Diaz,25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,